,id,title,brand,rating,rating_count,pricing,shipping,Image_URL,item_features
0,14-932-580,"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card",GIGABYTE,4.9,59,859.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-580-15.jpg,"[('Core Clock:', '2640 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', 'GV-N407TGAMING OC-12GD'), ('Item #: ', 'N82E16814932580'), ('Return Policy: ', 'Standard Return Policy')]"
1,14-932-561,GIGABYTE Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD,GIGABYTE,4.4,110,"1,183.87",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-561-23.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('DirectX:', 'DirectX 12'), ('Model #: ', 'GV-N4080GAMING OC-16GD'), ('Item #: ', 'N82E16814932561'), ('Return Policy: ', 'Standard Return Policy')]"
2,9SIB86XH2K2757,51Risc AMD Radeon RX 580 DirectX 12 RX580 8G 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Gaming Video Card Mining GPU,51Risc,4.6,19,85.00,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/B86XS2304260DM71E42.jpg,"[('Core Clock:', '1149 MHz'), ('Max Resolution:', '4096 x 2160'), ('DisplayPort:', '3 x DisplayPort'), ('DVI:', '1 x DVI'), ('Model #: ', '51RISC5808G'), ('Item #: ', '9SIB86XH2K2757'), ('Return Policy: ', 'View Return Policy')]"
3,14-932-562,GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD,GIGABYTE,+ 4,41,"1,149.99",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-562-21.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('DirectX:', 'DirectX 12'), ('Model #: ', 'GV-N4080EAGLE OC-16GD'), ('Item #: ', 'N82E16814932562'), ('Return Policy: ', 'Standard Return Policy')]"
4,14-137-632,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,MSI,4.8,379,289.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-632-03.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('Card Dimensions (L x H):', '9.25"" x 4.88""'), ('Model #: ', 'RTX3060Ventus2X12GOC'), ('Item #: ', 'N82E16814137632'), ('Return Policy: ', 'Standard Return Policy')]"
5,9SIAZUEJM11138,Yeston GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card HDMI 2.1*1 + DP1.4a*3 video cards Desktop computer PC video gaming graphics card,yeston,+ 5,3,"1,199.00",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/AZUES2302220GA2UU8C.jpg,"[('Core Clock:', '2205MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '1 x DisplayPort'), ('HDMI:', '3 x HDMI'), ('Model #: ', 'RTX4080-16G D6X YA'), ('Item #: ', '9SIAZUEJM11138'), ('Return Policy: ', 'View Return Policy')]"
6,14-930-049,"ASRock Radeon RX 6800 XT Phantom Gaming Graphics Card with 16GB GDDR6, AMD RDNA 2 (RX6800XT PG 16GO)",ASRock,4.6,163,509.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-049-02.jpg,"[('Core Clock:', '1875 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4 with DSC'), ('HDMI:', '1 x HDMI 2.1 VRR'), ('Model #: ', 'RX6800XT PGD 16GO'), ('Item #: ', 'N82E16814930049'), ('Return Policy: ', 'Standard Return Policy')]"
7,14-932-611,GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070WF3OC-12GD,GIGABYTE,4.7,40,599.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-611-V01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort'), ('HDMI:', '1 x HDMI'), ('Slot Width:', '2.5 Slots'), ('Model #: ', 'GV-N4070WF3OC-12GD'), ('Item #: ', 'N82E16814932611'), ('Return Policy: ', 'Standard Return Policy')]"
8,9SIB86XJMF5578,51RISC Radeon RX5600XT 6G Graphic Card GDDR6 6GB 128Bit Gaming Computer GPU RX5600XT 8GD6 GA Desktop Video Card 2 Fans,51Risc,4.7,3,128.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/B86XS230417045JEB91.jpg,"[('Core Clock:', '1420 MHz'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.0b'), ('Chipset Manufacturer:', 'AMD'), ('Model #: ', 'JPRX5600XT6GB'), ('Item #: ', '9SIB86XJMF5578'), ('Return Policy: ', 'View Return Policy')]"
9,14-137-789,MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 3X 12G OC,MSI,4.6,21,609.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-789-01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1a'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RTX 4070 VENTUS 3X 12G OC'), ('Item #: ', 'N82E16814137789'), ('Return Policy: ', 'Standard Return Policy')]"
